title,description,link,query
시각장애인 안내견의 설레는 첫 비행기 탑승[도시풍경] - 문화일보,"<a href=""https://news.google.com/rss/articles/CBMiUEFVX3lxTFB0MDJsejZ4S24zb2l2dTViS2g3T1FtdVM3aVlkdHlTWnFQMEl3Rmk0blY4Smk5Z3otNWF2S1Q3dXJNUUYxQ0hZOS1EbjRjMU1S?oc=5"" target=""_blank"">시각장애인 안내견의 설레는 첫 비행기 탑승[도시풍경]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">문화일보</font>",https://news.google.com/rss/articles/CBMiUEFVX3lxTFB0MDJsejZ4S24zb2l2dTViS2g3T1FtdVM3aVlkdHlTWnFQMEl3Rmk0blY4Smk5Z3otNWF2S1Q3dXJNUUYxQ0hZOS1EbjRjMU1S?oc=5,비행기
"기름값 아끼려 비행기도 ""가득 급유"" …하늘길 전략 바뀐다 - v.daum.net","<a href=""https://news.google.com/rss/articles/CBMiRkFVX3lxTE9WNEYtNzdKVTg1Ty11bVh6VUZTSnhUMmlGZGtLcGI5Zm1TcWQzNVpCbnZ4cl9QQ1FNd1BPb1lLZlVGZFhzZEE?oc=5"" target=""_blank"">기름값 아끼려 비행기도 ""가득 급유"" …하늘길 전략 바뀐다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",https://news.google.com/rss/articles/CBMiRkFVX3lxTE9WNEYtNzdKVTg1Ty11bVh6VUZTSnhUMmlGZGtLcGI5Zm1TcWQzNVpCbnZ4cl9QQ1FNd1BPb1lLZlVGZFhzZEE?oc=5,비행기
"[인천TV] 경찰, 비행기값 부풀리기 의혹 인천 기초의원 등 24명 검찰 송치 - 인천투데이","<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE8tOTQyWVBuUDdKRTRVVk1CcEtuMFlmTk9lYk9lOTctTDRablZNc2gzSjJLZGNId3d0aTFJcWZvSFJraWFZT2wtWEwwc2JVNUZEQzNINV9DY2dwWFFEYWN2YTlDM0FqclBwd3BCLTV2Wi0?oc=5"" target=""_blank"">[인천TV] 경찰, 비행기값 부풀리기 의혹 인천 기초의원 등 24명 검찰 송치</a>&nbsp;&nbsp;<font color=""#6f6f6f"">인천투데이</font>",https://news.google.com/rss/articles/CBMicEFVX3lxTE8tOTQyWVBuUDdKRTRVVk1CcEtuMFlmTk9lYk9lOTctTDRablZNc2gzSjJLZGNId3d0aTFJcWZvSFJraWFZT2wtWEwwc2JVNUZEQzNINV9DY2dwWFFEYWN2YTlDM0FqclBwd3BCLTV2Wi0?oc=5,비행기
“비행기 못 타겠네”…‘코로나급’ 유가 급등에 항공료 줄인상 - 동아일보,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE5ib0YwSGZEOER3QklqdUJGblRxS1BKY1o0SXlCdUgxYTJ5U0UxS2NVTG93NW9SWTQzM2FSSmVxb1JJbU9lZWh5enl2dkwwakE4RTRMZXZjSnYtanRrTTV5VWRUNFkzU01VbVhaN1hyeTg1X2_SAWZBVV95cUxPM1JRbHBUSVQ5eEhUeW5yWEc5NTZxUzdlYXBodnItY1VsNWp0QWRxM09mTmR2RVo3SFpxbnB0VThKOGl4S0wycjJVRW1FYzhhaTdwdm15Y3JodnVXc1I4WUlSWE9iV2c?oc=5"" target=""_blank"">“비행기 못 타겠네”…‘코로나급’ 유가 급등에 항공료 줄인상</a>&nbsp;&nbsp;<font color=""#6f6f6f"">동아일보</font>",https://news.google.com/rss/articles/CBMic0FVX3lxTE5ib0YwSGZEOER3QklqdUJGblRxS1BKY1o0SXlCdUgxYTJ5U0UxS2NVTG93NW9SWTQzM2FSSmVxb1JJbU9lZWh5enl2dkwwakE4RTRMZXZjSnYtanRrTTV5VWRUNFkzU01VbVhaN1hyeTg1X2_SAWZBVV95cUxPM1JRbHBUSVQ5eEhUeW5yWEc5NTZxUzdlYXBodnItY1VsNWp0QWRxM09mTmR2RVo3SFpxbnB0VThKOGl4S0wycjJVRW1FYzhhaTdwdm15Y3JodnVXc1I4WUlSWE9iV2c?oc=5,비행기
"전 동료 살해한 비행기 기장, 사이코패스 아니다 - 문화일보","<a href=""https://news.google.com/rss/articles/CBMiUEFVX3lxTE16d0czSkNSSTJDbllMNFBpSFQ3Ui1qYXNaMzJhRFdXYy1rV21OcnpYMkppQTd0cTVaVXlZbVVCbVliSG5LZEpudmJCcnh4S3Fm?oc=5"" target=""_blank"">전 동료 살해한 비행기 기장, 사이코패스 아니다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">문화일보</font>",https://news.google.com/rss/articles/CBMiUEFVX3lxTE16d0czSkNSSTJDbllMNFBpSFQ3Ui1qYXNaMzJhRFdXYy1rV21OcnpYMkppQTd0cTVaVXlZbVVCbVliSG5LZEpudmJCcnh4S3Fm?oc=5,비행기
신혼여행 비행기서 한국인 여성 구한 119대원…‘응급처치 후 의식 회복’ - 문화일보,"<a href=""https://news.google.com/rss/articles/CBMiUEFVX3lxTFB1b0ZJTUp4QzUtYV9WUDFWWGVDWGJhNjFSdVpJalBhSlBsR3ZEeW5FWmJROTNDMEFDWGxiaXA4dDJ3eFFJekpvRXBkcUh2WlQz?oc=5"" target=""_blank"">신혼여행 비행기서 한국인 여성 구한 119대원…‘응급처치 후 의식 회복’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">문화일보</font>",https://news.google.com/rss/articles/CBMiUEFVX3lxTFB1b0ZJTUp4QzUtYV9WUDFWWGVDWGJhNjFSdVpJalBhSlBsR3ZEeW5FWmJROTNDMEFDWGxiaXA4dDJ3eFFJekpvRXBkcUh2WlQz?oc=5,비행기
“비행기 못 태우면 버리지”…공항서 반복되는 반려견 유기 논란 - v.daum.net,"<a href=""https://news.google.com/rss/articles/CBMiRkFVX3lxTE1VbXo3Wm5RX1BwN0ZPczhSa0s2Q2VnTUhvaHRRNms0cXYzX3FweFlHbUtFMmJveElDRmNKcGRtMzEtRmZuMmc?oc=5"" target=""_blank"">“비행기 못 태우면 버리지”…공항서 반복되는 반려견 유기 논란</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",https://news.google.com/rss/articles/CBMiRkFVX3lxTE1VbXo3Wm5RX1BwN0ZPczhSa0s2Q2VnTUhvaHRRNms0cXYzX3FweFlHbUtFMmJveElDRmNKcGRtMzEtRmZuMmc?oc=5,비행기
기름값 아끼려 비행기 인천서 '가득' 넣고 출발…안전 문제 없나 - v.daum.net,"<a href=""https://news.google.com/rss/articles/CBMiRkFVX3lxTFByX2Znb3doSjJpam43UXhrU3AyNnRDS25jRWdnLTlVSmpvVHUxTWQ0RDVIX2VfUWY0RTZTRldtWHlnaW5TV1E?oc=5"" target=""_blank"">기름값 아끼려 비행기 인천서 '가득' 넣고 출발…안전 문제 없나</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",https://news.google.com/rss/articles/CBMiRkFVX3lxTFByX2Znb3doSjJpam43UXhrU3AyNnRDS25jRWdnLTlVSmpvVHUxTWQ0RDVIX2VfUWY0RTZTRldtWHlnaW5TV1E?oc=5,비행기
"비행기보다 먼저 늘어난 건 사람이다… 제주항공, 채용으로 먼저 던진 ‘확장 신호’ - v.daum.net","<a href=""https://news.google.com/rss/articles/CBMiT0FVX3lxTE4tWloydWtUYkQ0aTFvQWdVWWx1dWlsQnd2bkV3U3FTY2g2NWZNaU1vMUtuWnVnV2FNSno5Z3JGODJNWjlycmptOEVjZVVpbms?oc=5"" target=""_blank"">비행기보다 먼저 늘어난 건 사람이다… 제주항공, 채용으로 먼저 던진 ‘확장 신호’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",https://news.google.com/rss/articles/CBMiT0FVX3lxTE4tWloydWtUYkQ0aTFvQWdVWWx1dWlsQnd2bkV3U3FTY2g2NWZNaU1vMUtuWnVnV2FNSno5Z3JGODJNWjlycmptOEVjZVVpbms?oc=5,비행기
"“우리 강아지 없인 못 나가”… 그리스, 반려동물용 중동 탈출 비행기 띄웠다 - 전자신문","<a href=""https://news.google.com/rss/articles/CBMiTkFVX3lxTE1FOUdzYTU0d3JCY3Fad1NTZF9yRU9hTHZ0QWplX3ZxV2Y0Z0c1SVc3QktaZllTQXd4clNIcmdXcnZsMFd6WkNfanloSHVJQQ?oc=5"" target=""_blank"">“우리 강아지 없인 못 나가”… 그리스, 반려동물용 중동 탈출 비행기 띄웠다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">전자신문</font>",https://news.google.com/rss/articles/CBMiTkFVX3lxTE1FOUdzYTU0d3JCY3Fad1NTZF9yRU9hTHZ0QWplX3ZxV2Y0Z0c1SVc3QktaZllTQXd4clNIcmdXcnZsMFd6WkNfanloSHVJQQ?oc=5,비행기
